ID,fam,generation
J432,1,Parent
85-1,1,F1
85-100,1,F1
85-102,1,F1
85-103,1,F1
85-104,1,F1
85-106,1,F1
85-110,1,F1
85-111,1,F1
85-112,1,F1
85-113,1,F1
85-117,1,F1
85-119,1,F1
85-120,1,F1
85-122,1,F1
85-123,1,F1
85-124,1,F1
85-126,1,F1
85-133,1,F1
85-141,1,F1
85-147,1,F1
85-148,1,F1
85-153,1,F1
85-155,1,F1
85-156,1,F1
85-157,1,F1
85-158,1,F1
85-168,1,F1
85-169,1,F1
85-17,1,F1
85-171,1,F1
85-172,1,F1
85-176,1,F1
85-177,1,F1
85-178,1,F1
85-179,1,F1
85-181,1,F1
85-182,1,F1
85-184,1,F1
85-185,1,F1
85-187,1,F1
85-188,1,F1
85-191,1,F1
85-192,1,F1
85-193,1,F1
85-196,1,F1
85-198,1,F1
85-2,1,F1
85-201,1,F1
85-202,1,F1
85-203,1,F1
85-205,1,F1
85-206,1,F1
85-207,1,F1
85-209,1,F1
85-21,1,F1
85-210,1,F1
85-211,1,F1
85-212,1,F1
85-213,1,F1
85-215,1,F1
85-216,1,F1
85-217,1,F1
85-218,1,F1
85-222,1,F1
85-223,1,F1
85-224,1,F1
85-226,1,F1
85-227,1,F1
85-229,1,F1
85-23,1,F1
85-231,1,F1
85-234,1,F1
85-239,1,F1
85-24,1,F1
85-242,1,F1
85-244,1,F1
85-245,1,F1
85-247,1,F1
85-251,1,F1
85-253,1,F1
85-256,1,F1
85-257,1,F1
85-259,1,F1
85-26,1,F1
85-263,1,F1
85-267,1,F1
85-269,1,F1
85-272,1,F1
85-273,1,F1
85-274,1,F1
85-275,1,F1
85-277,1,F1
85-278,1,F1
85-28,1,F1
85-281,1,F1
85-284,1,F1
85-285,1,F1
85-287,1,F1
85-288,1,F1
85-29,1,F1
85-291,1,F1
85-292,1,F1
85-294,1,F1
85-295,1,F1
85-297,1,F1
85-298,1,F1
85-299,1,F1
85-3,1,F1
85-30,1,F1
85-303,1,F1
85-304,1,F1
85-31,1,F1
85-311,1,F1
85-313,1,F1
85-314,1,F1
85-315,1,F1
85-316,1,F1
85-317,1,F1
85-318,1,F1
85-319,1,F1
85-321,1,F1
85-322,1,F1
85-324,1,F1
85-33,1,F1
85-331,1,F1
85-336,1,F1
85-338,1,F1
85-341,1,F1
85-345,1,F1
85-346,1,F1
85-349,1,F1
85-35,1,F1
85-351,1,F1
85-353,1,F1
85-356,1,F1
85-36,1,F1
85-360,1,F1
85-364,1,F1
85-368,1,F1
85-370,1,F1
85-375,1,F1
85-376,1,F1
85-38,1,F1
85-380,1,F1
85-4,1,F1
85-40,1,F1
85-41,1,F1
85-43,1,F1
85-46,1,F1
85-47,1,F1
85-48,1,F1
85-49,1,F1
85-5,1,F1
85-52,1,F1
85-53,1,F1
85-55,1,F1
85-59,1,F1
85-60,1,F1
85-61,1,F1
85-62,1,F1
85-63,1,F1
85-66,1,F1
85-67,1,F1
85-68,1,F1
85-69,1,F1
85-70,1,F1
85-71,1,F1
85-72,1,F1
85-73,1,F1
85-74,1,F1
85-75,1,F1
85-76,1,F1
85-77,1,F1
85-78,1,F1
85-79,1,F1
85-84,1,F1
85-85,1,F1
85-89,1,F1
85-92,1,F1
85-93,1,F1
85-94,1,F1
85-95,1,F1
85-98,1,F1
85-99,1,F1
