Panel_markerID,BI_markerID,Chr,Pos
Chr01_000084128,Chr01_000084128,Chr01,84128
Chr01_000239479,Chr01_000239479,Chr01,239479
Chr01_000346934,Chr01_000346934,Chr01,346934
Chr01_000531131,Chr01_000531131,Chr01,531131
Chr01_000696870,Chr01_000696870,Chr01,696870
Chr01_000821046,Chr01_000821046,Chr01,821046
Chr01_000940930,Chr01_000940930,Chr01,940930
Chr01_001137467,Chr01_001137467,Chr01,1137467
Chr01_001267042,Chr01_001267042,Chr01,1267042
Chr01_001425740,Chr01_001425740,Chr01,1425740
Chr01_001601424,Chr01_001601424,Chr01,1601424
Chr01_001729336,Chr01_001729336,Chr01,1729336
Chr01_001884372,Chr01_001884372,Chr01,1884372
Chr01_002009954,Chr01_002009954,Chr01,2009954
Chr01_002161700,Chr01_002161700,Chr01,2161700
Chr01_002260410,Chr01_002260410,Chr01,2260410
Chr01_002284142,Chr01_002284142,Chr01,2284142
Chr01_002430978,Chr01_002430978,Chr01,2430978
Chr01_002497281,Chr01_002497281,Chr01,2497281
Chr01_002623297,Chr01_002623297,Chr01,2623297
Chr01_002789711,Chr01_002789711,Chr01,2789711
Chr01_002904578,Chr01_002904578,Chr01,2904578
Chr01_003081684,Chr01_003081684,Chr01,3081684
Chr01_003143477,Chr01_003143477,Chr01,3143477
Chr01_003244044,Chr01_003244044,Chr01,3244044
Chr01_003290719,Chr01_003290719,Chr01,3290719
Chr01_003378844,Chr01_003378844,Chr01,3378844
Chr01_003555895,Chr01_003555895,Chr01,3555895
Chr01_003672490,Chr01_003672490,Chr01,3672490
Chr01_003849766,Chr01_003849766,Chr01,3849766
Chr01_003967644,Chr01_003967644,Chr01,3967644
Chr01_004099814,Chr01_004099814,Chr01,4099814
Chr01_004272122,Chr01_004272122,Chr01,4272122
Chr01_004460076,Chr01_004460076,Chr01,4460076
Chr01_004559547,Chr01_004559547,Chr01,4559547
Chr01_004723924,Chr01_004723924,Chr01,4723924
Chr01_004805182,Chr01_004805182,Chr01,4805182
Chr01_004839382,Chr01_004839382,Chr01,4839382
Chr01_005027177,Chr01_005027177,Chr01,5027177
Chr01_005030903,Chr01_005030903,Chr01,5030903
Chr01_005135460,Chr01_005135460,Chr01,5135460
Chr01_005156950,Chr01_005156950,Chr01,5156950
Chr01_005240746,Chr01_005240746,Chr01,5240746
Chr01_005311994,Chr01_005311994,Chr01,5311994
Chr01_005501889,Chr01_005501889,Chr01,5501889
Chr01_005647214,Chr01_005647214,Chr01,5647214
Chr01_005774671,Chr01_005774671,Chr01,5774671
Chr01_005845769,Chr01_005845769,Chr01,5845769
Chr01_006031651,Chr01_006031651,Chr01,6031651
Chr01_006069284,Chr01_006069284,Chr01,6069284
Chr01_006137249,Chr01_006137249,Chr01,6137249
Chr01_006174920,Chr01_006174920,Chr01,6174920
Chr01_006274714,Chr01_006274714,Chr01,6274714
Chr01_006354234,Chr01_006354234,Chr01,6354234
Chr01_006550110,Chr01_006550110,Chr01,6550110
Chr01_006664179,Chr01_006664179,Chr01,6664179
Chr01_006857810,Chr01_006857810,Chr01,6857810
Chr01_006918403,Chr01_006918403,Chr01,6918403
Chr01_007030362,Chr01_007030362,Chr01,7030362
Chr01_007063625,Chr01_007063625,Chr01,7063625
Chr01_007126565,Chr01_007126565,Chr01,7126565
Chr01_007265831,Chr01_007265831,Chr01,7265831
Chr01_007370915,Chr01_007370915,Chr01,7370915
Chr01_007510166,Chr01_007510166,Chr01,7510166
Chr01_007788676,Chr01_007788676,Chr01,7788676
Chr01_007855544,Chr01_007855544,Chr01,7855544
Chr01_007976813,Chr01_007976813,Chr01,7976813
Chr01_008065315,Chr01_008065315,Chr01,8065315
Chr01_008087075,Chr01_008087075,Chr01,8087075
Chr01_008194164,Chr01_008194164,Chr01,8194164
Chr01_008259282,Chr01_008259282,Chr01,8259282
Chr01_008398415,Chr01_008398415,Chr01,8398415
Chr01_008404285,Chr01_008404285,Chr01,8404285
Chr01_008508865,Chr01_008508865,Chr01,8508865
Chr01_008687615,Chr01_008687615,Chr01,8687615
Chr01_008716190,Chr01_008716190,Chr01,8716190
Chr01_008774728,Chr01_008774728,Chr01,8774728
